iter	Passed	Remaining
401	13413	19953
402	13442	19914
403	13477	19882
404	13509	19847
405	13540	19809
406	13565	19765
407	13595	19726
408	13625	19688
409	13673	19676
410	13702	19637
411	13739	19609
412	13782	19588
413	13838	19587
414	13876	19560
415	13910	19528
416	13949	19502
417	13982	19468
418	14012	19429
419	14051	19403
420	14088	19375
421	14117	19335
422	14147	19298
423	14191	19278
424	14218	19236
425	14255	19207
426	14291	19178
427	14323	19142
428	14349	19098
429	14383	19066
430	14413	19028
431	14444	18992
432	14477	18958
433	14504	18916
434	14536	18880
435	14565	18841
436	14599	18808
437	14639	18784
438	14684	18765
439	14712	18725
440	14748	18694
441	14780	18659
442	14825	18640
443	14865	18615
444	14907	18592
445	14935	18552
446	14988	18543
447	15035	18525
448	15091	18519
449	15174	18546
450	15283	18605
451	15377	18643
452	15443	18648
453	15543	18692
454	15611	18699
455	15675	18700
456	15740	18702
457	15814	18715
458	15888	18727
459	15967	18744
460	16035	18748
461	16131	18785
462	16227	18821
463	16273	18798
464	16342	18802
465	16400	18793
466	16502	18834
467	16565	18831
468	16622	18820
469	16687	18817
470	16769	18834
471	16823	18819
472	16869	18795
473	16914	18770
474	16943	18727
475	16958	18668
476	16971	18608
477	16986	18550
478	17000	18491
479	17019	18438
480	17036	18382
481	17049	18322
482	17062	18263
483	17074	18203
484	17085	18142
485	17096	18081
486	17108	18022
487	17120	17962
488	17133	17904
489	17145	17845
490	17155	17784
491	17169	17727
492	17180	17668
493	17193	17611
494	17205	17553
495	17216	17494
496	17231	17439
497	17243	17382
498	17257	17326
499	17270	17270
500	17284	17215
501	17299	17161
502	17312	17105
503	17327	17052
504	17339	16995
505	17351	16939
506	17367	16888
507	17380	16833
508	17393	16778
509	17405	16722
510	17417	16667
511	17429	16612
512	17441	16557
513	17453	16503
514	17470	16453
515	17484	16400
516	17496	16345
517	17509	16292
518	17521	16238
519	17534	16185
520	17547	16132
521	17560	16080
522	17574	16028
523	17586	15975
524	17599	15923
525	17613	15872
526	17627	15821
527	17643	15772
528	17656	15720
529	17669	15668
530	17683	15618
531	17695	15566
532	17708	15515
533	17722	15465
534	17735	15415
535	17747	15363
536	17761	15313
537	17773	15262
538	17786	15212
539	17798	15161
540	17811	15111
541	17825	15062
542	17839	15013
543	17853	14965
544	17867	14917
545	17879	14866
546	17892	14818
547	17904	14768
548	17916	14718
549	17933	14672
550	17946	14624
551	17960	14576
552	17973	14528
553	17986	14479
554	18001	14433
555	18014	14385
556	18029	14339
557	18040	14290
558	18053	14242
559	18066	14195
560	18079	14147
561	18094	14102
562	18107	14055
563	18122	14009
564	18139	13966
565	18152	13918
566	18165	13872
567	18178	13826
568	18195	13782
569	18209	13736
570	18223	13691
571	18236	13645
572	18249	13599
573	18263	13554
574	18275	13508
575	18291	13464
576	18305	13419
577	18318	13374
578	18334	13331
579	18348	13286
580	18362	13242
581	18375	13197
582	18388	13152
583	18401	13108
584	18413	13062
585	18427	13018
586	18441	12974
587	18456	12932
588	18469	12888
589	18482	12843
590	18496	12800
591	18510	12756
592	18523	12713
593	18538	12670
594	18551	12627
595	18563	12583
596	18576	12539
597	18589	12496
598	18603	12454
599	18620	12413
600	18635	12372
601	18652	12331
602	18665	12289
603	18680	12247
604	18694	12205
605	18706	12162
606	18720	12120
607	18737	12081
608	18752	12039
609	18766	11998
610	18781	11957
611	18797	11917
612	18813	11877
613	18828	11836
614	18843	11796
615	18856	11754
616	18870	11713
617	18883	11672
618	18897	11631
619	18910	11590
620	18927	11551
621	18941	11511
622	18955	11470
623	18968	11429
624	18984	11390
625	18999	11351
626	19013	11310
627	19026	11270
628	19040	11230
629	19054	11190
630	19066	11149
631	19080	11110
632	19092	11069
633	19107	11030
634	19118	10989
635	19133	10950
636	19145	10910
637	19157	10870
638	19170	10830
639	19184	10791
640	19199	10752
641	19213	10713
642	19226	10674
643	19241	10636
644	19254	10597
645	19266	10558
646	19283	10520
647	19295	10481
648	19308	10442
649	19322	10404
650	19338	10367
651	19355	10330
652	19368	10292
653	19379	10252
654	19394	10215
655	19407	10177
656	19422	10139
657	19436	10102
658	19451	10065
659	19465	10027
660	19478	9989
661	19492	9952
662	19506	9914
663	19523	9879
664	19536	9841
665	19549	9803
666	19561	9766
667	19575	9729
668	19588	9691
669	19601	9654
670	19611	9615
671	19629	9580
672	19643	9544
673	19658	9508
674	19670	9470
675	19687	9436
676	19697	9397
677	19711	9361
678	19727	9326
679	19739	9289
680	19751	9252
681	19764	9215
682	19778	9179
683	19791	9143
684	19802	9106
685	19816	9070
686	19832	9035
687	19846	9000
688	19861	8965
689	19873	8928
690	19886	8892
691	19898	8856
692	19913	8821
693	19926	8785
694	19938	8750
695	19951	8714
696	19963	8678
697	19976	8643
698	19997	8611
699	20011	8576
700	20024	8541
701	20041	8507
702	20065	8477
703	20082	8443
704	20099	8410
705	20119	8378
706	20134	8344
707	20147	8309
708	20161	8275
709	20174	8240
710	20191	8207
711	20204	8172
712	20218	8138
713	20233	8104
714	20245	8069
715	20260	8036
716	20275	8002
717	20292	7969
718	20305	7935
719	20323	7903
720	20336	7869
721	20352	7836
722	20365	7802
723	20381	7769
724	20401	7738
725	20417	7705
726	20430	7672
727	20449	7640
728	20466	7608
729	20483	7576
730	20497	7542
731	20513	7510
732	20529	7477
733	20546	7446
734	20561	7413
735	20577	7380
736	20591	7348
737	20605	7315
738	20619	7282
739	20635	7250
740	20652	7218
741	20671	7187
742	20690	7156
743	20707	7125
744	20723	7093
745	20738	7061
746	20751	7028
747	20766	6996
748	20780	6963
749	20797	6932
750	20812	6900
751	20830	6869
752	20846	6838
753	20860	6805
754	20873	6773
755	20888	6741
756	20902	6709
757	20922	6679
758	20943	6649
759	20957	6618
760	20973	6586
761	20992	6556
762	21015	6527
763	21033	6497
764	21049	6466
765	21069	6436
766	21085	6405
767	21100	6373
768	21115	6342
769	21133	6312
770	21148	6281
771	21164	6250
772	21177	6219
773	21194	6188
774	21209	6157
775	21225	6126
776	21241	6096
777	21255	6065
778	21272	6035
779	21289	6004
780	21303	5973
781	21319	5943
782	21337	5913
783	21353	5883
784	21370	5853
785	21386	5822
786	21403	5792
787	21419	5762
788	21431	5731
789	21449	5701
790	21467	5672
791	21486	5642
792	21503	5613
793	21518	5583
794	21532	5552
795	21547	5522
796	21563	5492
797	21575	5461
798	21592	5431
799	21605	5401
800	21619	5371
801	21632	5340
802	21648	5310
803	21662	5280
804	21676	5250
805	21693	5221
806	21705	5191
807	21721	5161
808	21735	5131
809	21755	5103
810	21768	5073
811	21781	5043
812	21799	5014
813	21814	4984
814	21829	4955
815	21844	4925
816	21858	4896
817	21871	4866
818	21885	4836
819	21897	4806
820	21910	4777
821	21924	4747
822	21937	4717
823	21952	4688
824	21965	4659
825	21978	4629
826	21990	4600
827	22002	4570
828	22020	4542
829	22035	4513
830	22052	4484
831	22066	4455
832	22081	4426
833	22095	4397
834	22108	4368
835	22124	4340
836	22137	4311
837	22151	4282
838	22164	4253
839	22179	4224
840	22194	4196
841	22207	4167
842	22222	4138
843	22235	4109
844	22249	4081
845	22262	4052
846	22275	4023
847	22289	3995
848	22301	3966
849	22315	3937
850	22331	3909
851	22343	3881
852	22355	3852
853	22369	3824
854	22384	3796
855	22399	3768
856	22413	3739
857	22426	3711
858	22439	3683
859	22451	3654
860	22465	3626
861	22477	3598
862	22489	3570
863	22502	3542
864	22516	3514
865	22529	3486
866	22545	3458
867	22561	3430
868	22574	3403
869	22589	3375
870	22606	3348
871	22618	3320
872	22632	3292
873	22646	3264
874	22658	3236
875	22675	3209
876	22689	3182
877	22704	3154
878	22716	3127
879	22729	3099
880	22743	3072
881	22758	3044
882	22772	3017
883	22786	2990
884	22800	2962
885	22815	2935
886	22832	2908
887	22845	2881
888	22858	2854
889	22872	2826
890	22884	2799
891	22897	2772
892	22912	2745
893	22926	2718
894	22937	2691
895	22949	2663
896	22961	2636
897	22973	2609
898	22987	2582
899	23001	2555
900	23017	2529
901	23032	2502
902	23046	2475
903	23060	2448
904	23073	2422
905	23085	2395
906	23098	2368
907	23111	2341
908	23125	2315
909	23137	2288
910	23152	2261
911	23162	2234
912	23173	2208
913	23184	2181
914	23197	2154
915	23211	2128
916	23226	2102
917	23242	2076
918	23255	2049
919	23269	2023
920	23282	1997
921	23295	1970
922	23307	1944
923	23319	1918
924	23334	1891
925	23348	1865
926	23359	1839
927	23376	1813
928	23421	1790
929	23431	1763
930	23438	1737
931	23447	1710
932	23454	1684
933	23462	1657
934	23470	1631
935	23479	1605
936	23488	1579
937	23496	1553
938	23503	1526
939	23511	1500
940	23520	1474
941	23528	1448
942	23536	1422
943	23545	1396
944	23554	1370
945	23561	1344
946	23569	1319
947	23577	1293
948	23584	1267
949	23593	1241
950	23600	1216
951	23608	1190
952	23616	1164
953	23624	1139
954	23633	1113
955	23642	1088
956	23650	1062
957	23656	1037
958	23663	1011
959	23674	986
960	23682	961
961	23690	935
962	23699	910
963	23707	885
964	23713	860
965	23722	834
966	23729	809
967	23737	784
968	23744	759
969	23753	734
970	23760	709
971	23767	684
972	23773	659
973	23781	634
974	23790	610
975	23796	585
976	23804	560
977	23812	535
978	23819	510
979	23829	486
980	23837	461
981	23844	437
982	23851	412
983	23859	387
984	23867	363
985	23874	338
986	23883	314
987	23891	290
988	23899	265
989	23906	241
990	23916	217
991	23922	192
992	23930	168
993	23939	144
994	23947	120
995	23954	96
996	23962	72
997	23969	48
998	23975	23
999	23983	0
