iter	RMSE
358	0.2738715837
359	0.2738551131
360	0.2738219911
361	0.2738021773
362	0.2737745651
363	0.2737490092
364	0.2737285458
365	0.2737020254
366	0.2736762415
367	0.2736419464
368	0.2736126432
369	0.2735965348
370	0.2735801529
371	0.2735573298
372	0.273543041
373	0.2735147038
374	0.273484244
375	0.2734646435
376	0.2734413509
377	0.2734075537
378	0.2733761563
379	0.2733556517
380	0.2733411377
381	0.2733143664
382	0.2733000099
383	0.273269258
384	0.2732547358
385	0.2732308015
386	0.273198038
387	0.2731785966
388	0.2731483608
389	0.2731249536
390	0.2730986852
391	0.2730781965
392	0.2730561803
393	0.2730411843
394	0.2730223973
395	0.2730088724
396	0.2729850042
397	0.272956802
398	0.2729355105
399	0.2729040975
400	0.2728845275
401	0.2728559407
402	0.2728329177
403	0.2728033984
404	0.272784617
405	0.2727668625
406	0.2727444324
407	0.2727249993
408	0.2727080419
409	0.2726909847
410	0.2726676679
411	0.2726404297
412	0.2726242493
413	0.2725987247
414	0.2725738817
415	0.2725477748
416	0.2725205227
417	0.2725026212
418	0.2724800078
419	0.2724480359
420	0.2724223228
421	0.2724069415
422	0.2723918136
423	0.2723669207
424	0.2723498473
425	0.2723232691
426	0.272294649
427	0.2722691134
428	0.2722381784
429	0.27222135
430	0.2721954432
431	0.2721608004
432	0.2721369326
433	0.2721117429
434	0.2720951161
435	0.2720681003
436	0.2720489335
437	0.2720238149
438	0.2720147624
439	0.2719886415
440	0.2719667043
441	0.2719402902
442	0.2719193187
443	0.2718971991
444	0.2718800087
445	0.2718577418
446	0.2718376709
447	0.2718207809
448	0.2718007619
449	0.2717762191
450	0.2717604947
451	0.2717365813
452	0.2717063843
453	0.2716839524
454	0.2716602106
455	0.2716425365
456	0.2716173198
457	0.2715855243
458	0.2715672283
459	0.2715421038
460	0.2715349559
461	0.2715179375
462	0.2714909766
463	0.2714675442
464	0.2714413471
465	0.2714181934
466	0.2713946114
467	0.2713818561
468	0.271363432
469	0.2713351406
470	0.2713068839
471	0.2712944554
472	0.2712673581
473	0.2712337441
474	0.2712094008
475	0.2711893278
476	0.2711736693
477	0.271152241
478	0.2711337794
479	0.2711133804
480	0.2710880978
481	0.271059248
482	0.2710386341
483	0.2710221186
484	0.2710151816
485	0.2709901981
486	0.2709627369
487	0.2709392077
488	0.2709186833
489	0.2709043519
490	0.2708823277
491	0.2708568967
492	0.2708336099
493	0.2708118797
494	0.2707833294
495	0.2707575629
496	0.2707412976
497	0.2707176311
498	0.2707047837
499	0.2706815897
500	0.2706509549
501	0.2706425731
502	0.2706274349
503	0.2706045042
504	0.2705867249
505	0.2705617945
506	0.2705348037
507	0.2705077464
508	0.2704943591
509	0.2704702734
510	0.2704473975
511	0.2704291563
512	0.2704133815
513	0.2703934487
514	0.2703655904
515	0.2703401646
516	0.2703198859
517	0.2702961536
518	0.2702778852
519	0.2702560586
520	0.2702415138
521	0.2702248026
522	0.2702063751
523	0.2701866418
524	0.270167463
525	0.2701483967
526	0.2701220094
527	0.2701035685
528	0.2700815602
529	0.2700637275
530	0.2700483566
531	0.2700317257
532	0.2700119264
533	0.2699904772
534	0.269971119
535	0.2699585763
536	0.2699435886
537	0.2699193739
538	0.2699094625
539	0.269893745
540	0.2698738448
541	0.2698580426
542	0.2698361611
543	0.269807822
544	0.2697902139
545	0.2697649748
546	0.2697417346
547	0.2697215779
548	0.2697012372
549	0.2696694743
550	0.2696441235
551	0.2696171385
552	0.2695982426
553	0.2695784924
554	0.2695599084
555	0.2695405734
556	0.2695090219
557	0.2694910589
558	0.2694664183
559	0.2694458299
560	0.269434583
561	0.2694197461
562	0.2693968717
563	0.2693784844
564	0.2693663192
565	0.2693462983
566	0.2693196898
567	0.2692936732
568	0.269271049
569	0.2692446118
570	0.2692272373
571	0.2692084756
572	0.2691806267
573	0.2691560101
574	0.2691376672
575	0.2691134826
576	0.2690906948
577	0.2690660755
578	0.2690379259
579	0.2690176208
580	0.2690032498
581	0.2689847266
582	0.2689715125
583	0.2689457692
584	0.2689260215
585	0.2689027373
586	0.2688897684
587	0.2688638693
588	0.2688396373
589	0.2688208036
590	0.2688008668
591	0.2687772891
592	0.2687524278
593	0.2687415505
594	0.2687270135
595	0.2687190584
596	0.2686994932
597	0.2686772711
598	0.2686535999
599	0.268635383
600	0.2686121635
601	0.2685855281
602	0.268564903
603	0.2685385752
604	0.2685151249
605	0.2684982957
606	0.2684710735
607	0.2684486504
608	0.2684329843
609	0.2684068288
610	0.268385666
611	0.2683522627
612	0.2683345136
613	0.2683206481
614	0.2683002605
615	0.2682898917
616	0.2682741794
617	0.2682521103
618	0.2682325808
619	0.2682122506
620	0.2681886649
621	0.268165716
622	0.2681402937
623	0.2681260099
624	0.2680992587
625	0.2680841726
626	0.2680622042
627	0.2680427615
628	0.2680235142
629	0.2680051183
630	0.2679946966
631	0.2679719214
632	0.2679620042
633	0.2679398009
634	0.267917393
635	0.2679040875
636	0.267883966
637	0.2678628519
638	0.2678315697
639	0.2678165021
640	0.2677942176
641	0.2677751391
642	0.2677537785
643	0.267723928
644	0.2677089412
645	0.2676963723
646	0.2676755624
647	0.2676584321
648	0.2676376544
649	0.2676210855
650	0.2675983392
651	0.2675714671
652	0.2675479684
653	0.2675224275
654	0.2675100634
655	0.2674883404
656	0.2674745588
657	0.2674562948
658	0.2674437733
659	0.2674210685
660	0.2674096414
661	0.2673950591
662	0.2673705121
663	0.2673449427
664	0.2673259479
665	0.2673057713
666	0.2672844417
667	0.2672674072
668	0.2672490668
669	0.2672270587
670	0.267213295
671	0.2671903645
672	0.2671719751
673	0.2671504657
674	0.2671356895
675	0.2671197541
676	0.2670987239
677	0.2670717032
678	0.2670420609
679	0.2670210386
680	0.2670009219
681	0.2669819983
682	0.2669645709
683	0.2669360978
684	0.2669158079
685	0.2668911906
686	0.2668709056
687	0.2668545888
688	0.2668297992
689	0.266813622
690	0.2667939014
691	0.2667684368
692	0.2667501604
693	0.2667374193
694	0.2667234691
695	0.2667065328
696	0.2666910383
697	0.2666721473
698	0.2666531275
699	0.2666338266
700	0.2666134315
701	0.2665903639
702	0.2665702419
703	0.2665462351
704	0.2665284652
705	0.2665013766
706	0.2664862844
707	0.2664686784
708	0.2664486878
709	0.2664281497
710	0.2664113952
711	0.2663980671
712	0.2663804284
713	0.2663627447
714	0.266351517
715	0.2663286346
716	0.2663094856
717	0.2662869491
718	0.2662715352
719	0.2662636378
720	0.2662454284
721	0.2662198469
722	0.2662006033
723	0.2661770958
724	0.2661558986
725	0.2661316421
726	0.2661124373
727	0.2660891555
728	0.2660708311
729	0.2660550019
730	0.2660353248
731	0.2660150934
732	0.2660044254
733	0.2659784801
734	0.2659602544
735	0.2659456109
736	0.2659268192
737	0.2659209819
738	0.2659021747
739	0.2658748618
740	0.2658521547
741	0.2658369559
742	0.2658190054
743	0.2657952863
744	0.2657720415
745	0.2657491669
746	0.2657299251
747	0.2657086542
748	0.2656925262
749	0.2656702
750	0.265649285
751	0.2656342493
752	0.2656132483
753	0.2656005842
754	0.2655850383
755	0.2655714754
756	0.2655618927
757	0.2655419165
758	0.2655198006
759	0.2655033881
760	0.2654841079
761	0.2654618009
762	0.2654518557
763	0.265431741
764	0.265413412
765	0.2653936701
766	0.2653749125
767	0.2653559359
768	0.2653390865
769	0.2653177663
770	0.2652966286
771	0.2652682112
772	0.2652477749
773	0.265231234
774	0.2652216255
775	0.26519701
776	0.2651756104
777	0.2651627845
778	0.2651387851
779	0.265123235
780	0.2651027453
781	0.2650845768
782	0.2650633598
783	0.2650461845
784	0.2650290437
785	0.2650018569
786	0.2649856047
787	0.2649674962
788	0.2649533033
789	0.2649322611
790	0.2649142843
791	0.2648919326
792	0.2648716549
793	0.2648560134
794	0.2648455946
795	0.264827474
796	0.2648066733
797	0.264791421
798	0.2647741248
799	0.2647546327
800	0.2647424725
801	0.264725647
802	0.2647016571
803	0.2646831799
804	0.2646669222
805	0.2646519262
806	0.26463622
807	0.2646272788
808	0.2646069837
809	0.2645894803
810	0.2645639448
811	0.2645495187
812	0.264529725
813	0.2645065274
814	0.2644902802
815	0.2644758419
816	0.264459285
817	0.2644355511
818	0.2644235418
819	0.2644145094
820	0.264392229
821	0.2643780161
822	0.2643601758
823	0.2643345635
824	0.2643166126
825	0.2643050511
826	0.264284737
827	0.2642728664
828	0.2642563765
829	0.2642439107
830	0.2642297584
831	0.2642058707
832	0.2641830358
833	0.264167157
834	0.2641500958
835	0.2641253239
836	0.2641129581
837	0.2640926338
838	0.2640775031
839	0.2640659127
840	0.2640533952
841	0.2640321311
842	0.264013091
843	0.263993018
844	0.2639706555
845	0.2639561441
846	0.2639364536
847	0.2639193772
848	0.2638994684
849	0.2638805691
850	0.2638618459
851	0.2638414378
852	0.2638225154
853	0.2638056919
854	0.2637863658
855	0.2637696784
856	0.2637499276
857	0.2637295231
858	0.2637175946
859	0.2637067829
860	0.2636980891
861	0.2636788282
862	0.2636625724
863	0.2636385089
864	0.2636221205
865	0.2636030107
866	0.263588495
867	0.2635693844
868	0.263550297
869	0.2635314351
870	0.2635161171
871	0.2635039941
872	0.263484412
873	0.2634708709
874	0.2634541912
875	0.2634280128
876	0.2634103143
877	0.2633926325
878	0.2633820298
879	0.2633660679
880	0.2633534493
881	0.2633454133
882	0.2633244908
883	0.2633019629
884	0.2632856121
885	0.2632679883
886	0.2632453209
887	0.2632275904
888	0.2632094443
889	0.2631943111
890	0.2631827316
891	0.2631581241
892	0.2631499899
893	0.2631322928
894	0.263118085
895	0.2631002154
896	0.2630902674
897	0.2630794828
898	0.2630528296
899	0.263034948
900	0.2630184063
901	0.262996332
902	0.2629739585
903	0.262955945
904	0.262938241
905	0.2629215449
906	0.2629075805
907	0.2628892769
908	0.2628748845
909	0.2628596699
910	0.262837736
911	0.2628210032
912	0.2628049463
913	0.2627943016
914	0.2627730036
915	0.262757012
916	0.2627329753
917	0.262715483
918	0.2626974801
919	0.2626745291
920	0.2626557105
921	0.262639121
922	0.2626281849
923	0.2626155833
924	0.262593581
925	0.2625817058
926	0.2625606258
927	0.2625423202
928	0.2625272109
929	0.2625122183
930	0.2624992968
931	0.2624785907
932	0.2624563977
933	0.2624410476
934	0.2624220108
935	0.2624064681
936	0.2623823643
937	0.2623612479
938	0.262341808
939	0.2623247872
940	0.2623034806
941	0.2622887346
942	0.262277734
943	0.262260327
944	0.2622413634
945	0.2622203612
946	0.2622045232
947	0.2621923054
948	0.2621754475
949	0.2621628461
950	0.2621450063
951	0.2621351457
952	0.2621185074
953	0.2621114893
954	0.2620955582
955	0.2620768687
956	0.2620560493
957	0.2620382926
958	0.2620237179
959	0.2620115009
960	0.2619932103
961	0.2619759165
962	0.2619637037
963	0.2619464177
964	0.2619310277
965	0.2619136556
966	0.2618971628
967	0.2618844657
968	0.2618684864
969	0.2618533165
970	0.2618374627
971	0.2618238893
972	0.2618086326
973	0.2617896268
974	0.2617741272
975	0.2617596426
976	0.2617369411
977	0.261723321
978	0.2617154187
979	0.2617019372
980	0.2616847194
981	0.2616709037
982	0.2616564497
983	0.2616361492
984	0.2616207099
985	0.2616043813
986	0.261586284
987	0.2615661082
988	0.2615513325
989	0.2615324858
990	0.261509441
991	0.2614923268
992	0.2614747101
993	0.2614572497
994	0.2614397899
995	0.2614239555
996	0.2614074173
997	0.2613865083
998	0.2613705938
999	0.261350772
