window,universe,strategy,metric,value
Pre-Training OOS (2023-07-01 to 2025-03-01),high_alpha20,candv1 top-K vol-targeted @15%,real_vol,0.17266501080438768
Pre-Training OOS (2023-07-01 to 2025-03-01),high_alpha20,candv1 top-K vol-targeted @15%,avg_lev,0.7504376671760005
Pre-Training OOS (2023-07-01 to 2025-03-01),high_alpha20,candv1 top-K vol-targeted @15%,max_lev,1.5
Pre-Training OOS (2023-07-01 to 2025-03-01),high_alpha20,candv1 top-K vol-targeted @15%,avg_turnover,0.42315720570852533
Pre-Training OOS (2023-07-01 to 2025-03-01),high_alpha20,EW Buy&Hold,net_cum,27.428539740458223
Pre-Training OOS (2023-07-01 to 2025-03-01),high_alpha20,EW Buy&Hold,sharpe,0.7720880427585615
Pre-Training OOS (2023-07-01 to 2025-03-01),high_alpha20,EW Buy&Hold,max_dd,-17.03243019980296
Pre-Training OOS (2023-07-01 to 2025-03-01),high_alpha20,EW Buy&Hold,real_vol,0.2238348126352065
Pre-Training OOS (2023-07-01 to 2025-03-01),high_alpha20,EW Buy&Hold,avg_lev,1.0
Pre-Training OOS (2023-07-01 to 2025-03-01),high_alpha20,EW Buy&Hold,max_lev,1.0
Pre-Training OOS (2023-07-01 to 2025-03-01),high_alpha20,EW Buy&Hold,avg_turnover,0.0
