window,slice_type,slice_value,metric,value
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2023-07,pooled_ic,-0.188282
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2023-07,mean_ic,-0.21461
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2023-07,n_obs,80.0
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2023-08,pooled_ic,0.114399
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2023-08,mean_ic,0.117328
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2023-08,n_obs,80.0
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2023-09,pooled_ic,-0.138295
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2023-09,mean_ic,-0.155197
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2023-09,n_obs,100.0
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2023-10,pooled_ic,0.138878
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2023-10,mean_ic,0.135359
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2023-10,n_obs,80.0
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2023-11,pooled_ic,0.194272
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2023-11,mean_ic,0.172583
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2023-11,n_obs,80.0
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2023-12,pooled_ic,-0.05095
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2023-12,mean_ic,-0.02148
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2023-12,n_obs,100.0
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-01,pooled_ic,0.149603
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-01,mean_ic,0.146553
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-01,n_obs,80.0
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-02,pooled_ic,0.022276
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-02,mean_ic,0.012654
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-02,n_obs,80.0
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-03,pooled_ic,-0.141322
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-03,mean_ic,-0.156596
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-03,n_obs,80.0
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-04,pooled_ic,-0.106687
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-04,mean_ic,-0.10223
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-04,n_obs,80.0
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-05,pooled_ic,-0.015456
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-05,mean_ic,-0.017445
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-05,n_obs,100.0
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-06,pooled_ic,0.161349
Pre-Training OOS (2023-07-01 to 2025-03-01),month,2024-06,mean_ic,0.165055
