window,cadence,construction,metric,value
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,pure_topk,cost_drag_pp,0.1069670069132016
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,pure_topk,information_ratio_vs_bh,-0.6493735645727738
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,pure_topk,bh_cum_return_pct,24.94899312404048
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,pure_topk,bh_sharpe,2.7792427328846934
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,overlay_80_20,n_rebalances,3.0
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,overlay_80_20,net_cum_return_pct,24.50400339426684
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,overlay_80_20,gross_cum_return_pct,24.567576676834214
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,overlay_80_20,net_sharpe,2.9194628287223385
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,overlay_80_20,gross_sharpe,2.918921929224643
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,overlay_80_20,max_drawdown_pct,-0.004864070201521879
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,overlay_80_20,avg_turnover_per_rebalance,0.39291073644305513
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,overlay_80_20,cost_drag_pp,0.0635732825673756
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,overlay_80_20,information_ratio_vs_bh,-0.6879564361027475
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,overlay_80_20,bh_cum_return_pct,24.94899312404048
Post-Training OOS (2026-03-20 to 2026-05-15),monthly,overlay_80_20,bh_sharpe,2.7792427328846934
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,pure_topk,n_rebalances,86.0
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,pure_topk,net_cum_return_pct,12.463621136075744
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,pure_topk,gross_cum_return_pct,14.472021881007349
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,pure_topk,net_sharpe,0.4259335484185657
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,pure_topk,gross_sharpe,0.47359689813973427
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,pure_topk,max_drawdown_pct,-17.83152385188089
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,pure_topk,avg_turnover_per_rebalance,0.41279096951070193
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,pure_topk,cost_drag_pp,2.0084007449316044
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,pure_topk,information_ratio_vs_bh,-0.6599425019143565
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,pure_topk,bh_cum_return_pct,27.428539459264172
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,pure_topk,bh_sharpe,0.7675873953836115
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,overlay_80_20,n_rebalances,86.0
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,overlay_80_20,net_cum_return_pct,24.443479509019543
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,overlay_80_20,gross_cum_return_pct,24.932474966606915
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,overlay_80_20,net_sharpe,0.7129517940566914
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,overlay_80_20,gross_sharpe,0.7237131855321278
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,overlay_80_20,max_drawdown_pct,-16.80269874540718
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,overlay_80_20,avg_turnover_per_rebalance,0.09186051948353571
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,overlay_80_20,cost_drag_pp,0.4889954575873716
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,overlay_80_20,information_ratio_vs_bh,-0.6713607450983806
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,overlay_80_20,bh_cum_return_pct,27.428539459264172
Pre-Training OOS (2023-07-01 to 2025-03-01),weekly,overlay_80_20,bh_sharpe,0.7675873953836115
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,pure_topk,n_rebalances,43.0
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,pure_topk,net_cum_return_pct,12.458097803726924
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,pure_topk,gross_cum_return_pct,13.86303832734613
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,pure_topk,net_sharpe,0.42724722271928695
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,pure_topk,gross_sharpe,0.4609940444721865
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,pure_topk,max_drawdown_pct,-17.40097358561781
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,pure_topk,avg_turnover_per_rebalance,0.5810770474933047
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,pure_topk,cost_drag_pp,1.4049405236192065
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,pure_topk,information_ratio_vs_bh,-0.6252104502418263
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,pure_topk,bh_cum_return_pct,25.795886570380006
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,pure_topk,bh_sharpe,0.7473549602262881
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,overlay_80_20,n_rebalances,43.0
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,overlay_80_20,net_cum_return_pct,23.14267996881297
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,overlay_80_20,gross_cum_return_pct,23.49647646664884
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,overlay_80_20,net_sharpe,0.6946899722752425
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,overlay_80_20,gross_sharpe,0.7027369219478887
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,overlay_80_20,max_drawdown_pct,-16.7590298056988
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,overlay_80_20,avg_turnover_per_rebalance,0.13482006066145164
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,overlay_80_20,cost_drag_pp,0.3537964978358694
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,overlay_80_20,information_ratio_vs_bh,-0.637542289352584
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,overlay_80_20,bh_cum_return_pct,25.795886570380006
Pre-Training OOS (2023-07-01 to 2025-03-01),biweekly,overlay_80_20,bh_sharpe,0.7473549602262881
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,pure_topk,n_rebalances,20.0
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,pure_topk,net_cum_return_pct,34.09806774549228
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,pure_topk,gross_cum_return_pct,35.13474205708861
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,pure_topk,net_sharpe,0.8758642901280448
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,pure_topk,gross_sharpe,0.8962657262807627
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,pure_topk,max_drawdown_pct,-14.609480099418889
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,pure_topk,avg_turnover_per_rebalance,0.7797966549596004
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,pure_topk,cost_drag_pp,1.0366743115963288
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,pure_topk,information_ratio_vs_bh,0.30808916161791317
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,pure_topk,bh_cum_return_pct,26.287452832220602
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,pure_topk,bh_sharpe,0.690354124708957
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,overlay_80_20,n_rebalances,20.0
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,overlay_80_20,net_cum_return_pct,27.95083487299866
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,overlay_80_20,gross_cum_return_pct,28.19994897548941
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,overlay_80_20,net_sharpe,0.736874125705125
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,overlay_80_20,gross_sharpe,0.7419133568953303
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,overlay_80_20,max_drawdown_pct,-12.65414164923548
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,overlay_80_20,avg_turnover_per_rebalance,0.1959593309919201
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,overlay_80_20,cost_drag_pp,0.2491141024907506
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,overlay_80_20,information_ratio_vs_bh,0.2961623855355076
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,overlay_80_20,bh_cum_return_pct,26.287452832220602
Pre-Training OOS (2023-07-01 to 2025-03-01),monthly,overlay_80_20,bh_sharpe,0.690354124708957
